frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr,label
127,"Jul 30, 2023 13:12:06.468513000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,526,11,0,8,0x00000000032026b8,0,Aya's Galaxy ,2,3,,,,,,,,,normal
735,"Jan 10, 2021 04:07:51.566375718 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,2877,1,0,8,0x0000000005070180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2012,"Jan 10, 2021 04:09:08.357577271 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,3463,1,0,8,0x00000000099ac180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
398,"Jan 10, 2021 04:07:33.298329045 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,1763,1,0,8,0x0000000003f04180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
978,"Jan 10, 2021 04:08:06.125029944 EET",d6:7e:a7:8e:35:cb,ce:6b:60:77:85:72,389,0,d6:7e:a7:8e:35:cb,689,1,0,5,0x0000000115e0b9ce,100,Aya's Galaxy ,2,3,,,,,,,,,attack
141,"Jan 10, 2021 04:07:15.472726120 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,675,7,0,8,0x0000000002e04180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
2165,"Jan 10, 2021 04:09:19.101534738 EET",d6:7e:a7:8e:35:cb,80:1f:02:e9:f4:68,118,1,d6:7e:a7:8e:35:cb,436,1,0,5,0x000000000a3eb347,16,Aya's Galaxy ,1,2,,,,,,,,,attack
1901,"Jan 10, 2021 04:09:00.959318007 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,351,0,d6:7e:a7:8e:35:cb,2370,1,0,8,0x0000000119257180,100,Aya's Galaxy ,2,3,,,,,,,,,attack
217,"Jan 10, 2021 04:07:22.370409713 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,1096,1,0,8,0x0000000003498180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
378,"Jan 10, 2021 04:07:31.840205235 EET",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,124,0,d6:7e:a7:8e:35:cb,1674,4,0,8,0x0000000003da0180,16,Aya's Galaxy ,1,2,,,,,,,,,attack
