frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr
82,"Jul 30, 2023 13:11:24.749711000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,181,48,0,8,0x0000000a5ab9c3f9,0,Orange-8605,1,1,,,,,,,,
83,"Jul 30, 2023 13:11:25.801666000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,139,11,0,8,0x0000000000b3b320,0,Aya's Galaxy ,1,1,,,,,,,,
84,"Jul 30, 2023 13:11:25.801666000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,183,48,0,8,0x0000000a5ac9e381,0,Orange-8605,1,1,,,,,,,,
85,"Jul 30, 2023 13:11:26.839675000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,139,11,0,8,0x0000000000c35328,0,Aya's Galaxy ,1,1,,,,,,,,
86,"Jul 30, 2023 13:11:26.839675000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,185,48,0,8,0x0000000a5ad9b358,0,Orange-8605,1,1,,,,,,,,
87,"Jul 30, 2023 13:11:27.846142000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,141,11,0,8,0x0000000000d2f32d,0,Aya's Galaxy ,1,1,,,,,,,,
88,"Jul 30, 2023 13:11:27.847143000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,187,48,0,8,0x0000000a5ae9175f,0,Orange-8605,1,1,,,,,,,,
89,"Jul 30, 2023 13:11:28.711351000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,236,0,d6:7e:a7:8e:35:cb,142,11,0,8,0x0000000000df732b,0,Aya's Galaxy ,1,1,,,,,,,,
90,"Jul 30, 2023 13:11:28.711351000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,189,48,0,8,0x0000000a5af64840,0,Orange-8605,1,1,,,,,,,,
91,"Jul 30, 2023 13:11:33.339174000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000000ea72bf,0,Aya's Galaxy ,1,1,,,,,,,,
92,"Jul 30, 2023 13:11:33.340177000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,191,48,0,8,0x0000000a5b243058,0,Orange-8605,1,1,,,,,,,,
93,"Jul 30, 2023 13:11:34.109286000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,230,0,d6:7e:a7:8e:35:cb,145,11,0,8,0x0000000000ea72bf,0,Aya's Galaxy ,1,1,,,,,,,,
94,"Jul 30, 2023 13:11:34.110284000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,193,48,0,8,0x0000000a5b4896cd,0,Orange-8605,1,1,,,,,,,,
