frame.number,frame.time,wlan.sa,wlan.ra,frame.len,wlan.fc.retry,wlan.bssid,wlan.seq,wlan_radio.channel,wlan.fc.type,wlan.fc.subtype,wlan.fixed.timestamp,wlan.fixed.beacon,wlan.ssid,wlan.rsn.akms.count,wlan.rsn.akms.type,wlan.fixed.auth.alg,wlan.fixed.auth_seq,wlan.fixed.status_code,wlan.fixed.finite_cyclic_group,wlan.fixed.aid,wlan.fixed.reason_code,eapol.keydes.type,wlan_rsna_eapol.keydes.msgnr
27,"Jul 30, 2023 13:10:35.637070000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,426,48,0,8,0x0000000a57cc5445,0,Orange-8605,2,3,,,,,,,,
28,"Jul 30, 2023 13:10:36.622960000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,427,48,0,8,0x0000000a57db645e,0,Orange-8605,2,3,,,,,,,,
29,"Jul 30, 2023 13:10:41.112775000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,428,48,0,8,0x0000000a57fad04d,0,Orange-8605,2,3,,,,,,,,
30,"Jul 30, 2023 13:10:41.797433000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,429,48,0,8,0x0000000a582a6ea9,0,Orange-8605,2,3,,,,,,,,
31,"Jul 30, 2023 13:10:42.799756000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,430,48,0,8,0x0000000a5839b459,0,Orange-8605,2,3,,,,,,,,
32,"Jul 30, 2023 13:10:43.787911000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,431,48,0,8,0x0000000a5848c472,0,Orange-8605,2,3,,,,,,,,
33,"Jul 30, 2023 13:10:44.839575000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,432,11,0,8,0x000000000002c7b9,0,Aya's Galaxy ,2,3,,,,,,,,
34,"Jul 30, 2023 13:10:44.848818000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,433,48,0,8,0x0000000a5858d4af,0,Orange-8605,2,3,,,,,,,,
35,"Jul 30, 2023 13:10:49.304499000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,432,11,0,8,0x00000000000c3466,0,Aya's Galaxy ,2,3,,,,,,,,
36,"Jul 30, 2023 13:10:49.304499000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,435,48,0,8,0x0000000a58678c27,0,Orange-8605,2,3,,,,,,,,
37,"Jul 30, 2023 13:10:49.973611000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,432,11,0,8,0x0000000000515bd3,0,Aya's Galaxy ,2,3,,,,,,,,
38,"Jul 30, 2023 13:10:49.973611000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,437,48,0,8,0x0000000a58a73367,0,Orange-8605,2,3,,,,,,,,
39,"Jul 30, 2023 13:10:50.993626000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,432,11,0,8,0x00000000006087a7,0,Aya's Galaxy ,2,3,,,,,,,,
40,"Jul 30, 2023 13:10:50.993626000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,439,48,0,8,0x0000000a58b6948e,0,Orange-8605,2,3,,,,,,,,
41,"Jul 30, 2023 13:10:51.822898000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,432,11,0,8,0x00000000006d04b4,0,Aya's Galaxy ,2,3,,,,,,,,
42,"Jul 30, 2023 13:10:51.822898000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,441,48,0,8,0x0000000a58c3542c,0,Orange-8605,2,3,,,,,,,,
43,"Jul 30, 2023 13:10:53.020808000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,432,11,0,8,0x00000000007fc7cb,0,Aya's Galaxy ,2,3,,,,,,,,
44,"Jul 30, 2023 13:10:53.021972000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,443,48,0,8,0x0000000a58d5a9d7,0,Orange-8605,2,3,,,,,,,,
45,"Jul 30, 2023 13:10:57.540987000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,432,11,0,8,0x0000000000891801,0,Aya's Galaxy ,2,3,,,,,,,,
46,"Jul 30, 2023 13:10:57.541730000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,,,,,,,,,,,,,,,,,
47,"Jul 30, 2023 13:10:58.126443000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,,,,,,,,,,,,,,,,,
48,"Jul 30, 2023 13:10:58.130306000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,431,0,00:5f:67:c9:86:04,,,,,,,,,,,,,,,,,
49,"Jul 30, 2023 13:10:59.290610000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,,,,,,,,,,,,,,,,,
50,"Jul 30, 2023 13:10:59.291456000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,,,,,,,,,,,,,,,,,
51,"Jul 30, 2023 13:11:00.198752000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,,,,,,,,,,,,,,,,,
52,"Jul 30, 2023 13:11:00.199753000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,,,,,,,,,,,,,,,,,
53,"Jul 30, 2023 13:11:01.194039000 BST",d6:7e:a7:8e:35:cb,ff:ff:ff:ff:ff:ff,208,0,d6:7e:a7:8e:35:cb,,,,,,,,,,,,,,,,,
54,"Jul 30, 2023 13:11:01.195040000 BST",00:5f:67:c9:86:04,ff:ff:ff:ff:ff:ff,380,0,00:5f:67:c9:86:04,,,,,,,,,,,,,,,,,
